Date,Open,High,Low,Close,Adj Close,Volume
2016-08-03,3278.100098,3305.899902,3210.5,3237.100098,3130.87207,32997.0
2016-08-04,3255.0,3305.0,3250.0,3270.100098,3162.7890629999997,24298.0
2016-08-05,3299.949951,3455.649902,3287.25,3434.3000490000004,3321.60083,47626.0
2016-08-08,3525.0,3553.5500490000004,3410.0,3456.8000490000004,3343.362549,135264.0
2016-08-09,3464.0,3490.0,3394.3000490000004,3407.3000490000004,3295.486816,101733.0
2016-08-10,3424.0,3442.850098,3303.0,3320.5,3211.5354,45147.0
2016-08-11,3317.0,3369.9499509999996,3291.600098,3303.800049,3195.3833010000003,22305.0
2016-08-12,3310.0,3364.850098,3301.5,3313.300049,3204.571777,26300.0
2016-08-16,3313.300049,3320.0,3281.0,3294.699951,3186.581787,9699.0
2016-08-17,3313.5,3429.0,3308.050049,3360.149902,3249.884033,44902.0
2016-08-18,3360.0,3410.0,3356.600098,3369.399902,3258.830322,28677.0
2016-08-19,3380.0,3380.0,3343.800049,3359.25,3249.013672,12184.0
2016-08-22,3365.0,3365.0,3306.800049,3337.949951,3228.412598,14527.0
2016-08-23,3382.0,3382.0,3296.149902,3306.449951,3197.946289,19452.0
2016-08-24,3306.449951,3323.0,3287.899902,3309.5,3200.895996,16451.0
2016-08-25,3305.0,3332.949951,3290.0,3303.75,3195.334717,14644.0
2016-08-26,3322.25,3334.0,3300.0,3316.800049,3207.956787,13711.0
2016-08-29,3316.5,3415.0,3282.0,3405.75,3293.987549,30877.0
2016-08-30,3414.0,3483.399902,3414.0,3473.350098,3359.369385,37451.0
2016-08-31,3480.0,3576.0,3480.0,3547.5,3431.086182,44367.0
2016-09-01,3551.0,3597.149902,3520.0,3546.899902,3430.505615,27077.0
2016-09-02,3580.0,3614.350098,3553.850098,3578.5500490000004,3461.116943,29526.0
2016-09-06,3578.5500490000004,3650.0,3578.5500490000004,3614.0500490000004,3495.452393,25660.0
2016-09-07,3699.8000490000004,3699.8000490000004,3578.350098,3609.850098,3491.390137,15095.0
2016-09-08,3605.0,3739.899902,3605.0,3697.649902,3576.3088380000004,34007.0
2016-09-09,3690.0,3705.5,3568.649902,3623.8000490000004,3504.882324,22598.0
2016-09-12,3565.0,3565.0,3493.100098,3529.0500490000004,3413.241455,27978.0
2016-09-14,3529.0500490000004,3612.0,3529.0500490000004,3589.5,3471.707764,14552.0
